name,price,status,shipping,free_returns,items_sold
Bose Noise Cancelling Headphones 700 Silver/White-BRAND NEW / Sealed,24999,Brand New,0,True,35 sold
New Apple AirPods Max (USB-C) Over Ear Midnight Black Headphones - Open Box,41999,Open Box,49999,False,
"Tronsmart Q20 Wireless Bluetooth Headphones Active Noise Cancelling,60H Playtime",2299,Brand New,0,False,
"JLab Go POP+ True Wireless Bluetooth Earbuds, In-Ear Headphones, Refurbished",1889,Certified - Refurbished,4999,True,
"Bose QuietComfort Ultra Noise Cancelling Headphones, Certified Refurbished",22900,Certified - Refurbished,44900,True,956+ sold
"Bose QuietComfort Noise Cancelling Headphones, Certified Refurbished",19900,Certified - Refurbished,35900,True,"1,135+ sold"
Sony WH-CH720N Noise Canceling Wireless Headphones,5999,Certified - Refurbished,17999,True,"8,076 sold"
"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless",2299,Certified - Refurbished,2874,True,479 sold
TREBLAB Z2 Active Noise Cancelling Over Ear Headphones Bluetooth Wireless aptX,3997,,142929940,False,751+ sold
Massdrop x Sennheiser HD 6XX Headphones,14988,,378169930,False,
"Bose QuietComfort Ultra Noise Cancelling Headphones, Certified Refurbished",22900,,717899970,False,956+ sold
Sony - WH-CH520 Wireless On-Ear Headphones Black,2995,,138089950,False,"1,254 sold"
Sony WF-1000XM5 Truly Wireless Bluetooth Noise Canceling Headphones - Black/Silv,13999,,16749900,False,58+ sold
Soundcore P30i by Anker Noise Cancelling Wireless Earbuds - Black - NEW SEALED,2399,,152510000,False,"1,163 sold"
"Bose QuietComfort Noise Cancelling Headphones, Certified Refurbished",19900,,717899970,False,102+ sold
Wireless Headphones Bluetooth Headset Noise Cancelling Over Ear With Microphone,2695,,1069219950,False,434+ sold
"Soundcore by Anker Q20i Hybrid Active Noise Cancelling Headphones, Big Bass",4499,Brand New,6998,False,281 sold
"JBL Vibe Buds 2, True Wireless Noise Cancelling Earbuds",3995,Brand New,5995,True,
Sony WH1000XM5/SA Wireless Noise-Cancelling Over-the-Ear Headphones - Black,13400,Open Box,897,False,13 sold
JBL by Harman Live 675NC Wireless True Adaptive Noise Cancelling Headphones- NOB,2899,Open Box,0,True,426 sold
Wireless Headphones Bluetooth Noise Cancelling Stereo Earphones Over Ear Headset,1399,Brand New,0,True,156 sold
Bose QC30 QuietControl 30 Wireless Noise Cancelling Headphones - Black,16999,Brand New,0,False,7 sold
Marvel MR28 Iron Man Wireless Bluetooth Noise-Canceling Game Earphone Earbuds,4840,Brand New,5500,False,
Belkin Wireless Over-Ear Headphones | iPhone Samsung Compatible | HD Sound | 60H,3999,Brand New,0,True,
Skullcandy SESH ANC Wireless In-ear Bluetooth Earbuds (Certified Refurb)-BLACK,1898,Certified - Refurbished,5999,True,"10,000+ sold"
Sony - WH-CH720N Wireless Noise Canceling Headphones - Blue,5999,Certified - Refurbished,17999,True,"4,245 sold"
