name,price,status,shipping,free_returns,items_sold
On Women's Cloudswift Sneakers 3 Pearl/Fog,9000,US W 5.5,1000,False,
adidas men VL Court 3.0 Shoes,3700,US M 9.5 + more,7500,True,
"Nike Air Jordan 5 Retro OG ""BLACK METALLIC REIMAGINED"" Men's Baketball Shoes",11999,US M 7 + more,1495,False,
adidas men Run 60s 2.0 Shoes,3200,US M 9 + more,6000,True,
Nike Air Max 95 OG Big Bubble Granite HM4740-007 Men's Size New,15499,US M 9 + more,17399,False,
New Balance 9060 Triple Black U9060BPM Men's Size New,11970,US M 9 + more,12600,False,
On Running Cloudtilt Black Eclipse 3ME10100264 Mens New,13347,US M 12.5 + more,14199,False,
Nike Air Jordan 13 Retro (2026) True Red Chicago 414571-102 Men's Sizes NEW,18499,US M 10.5 + more,1495,False,
Adidas Vario Pure White Black W,,,,False,
Adidas Racer TR23 Solid Grey Blue Burst,,,,False,
Adidas Grand Court Alpha Shadow Navy White W,,,,False,
Adidas Daily 4.0 Clay Black,,,,False,
Adidas Run 60s 2.0 Crew Navy,,,,False,
Adidas Run 60s 2.0 Grey Carbon,,,,False,
Adidas Grand Court 2.0 White Black,,,,False,
adidas Japan Bright Royal,,,,False,
Adidas Lite Racer Adapt 7.0 Black Grey,,,,False,
Nike Court Vision Next Nature Low Triple White,,,,False,
adidas VL Court 3.0 Core White Bright Royal Dark Blue Gum,,,,False,
Nike Court Vision Next Nature Low Triple Black,,,,False,
Nike Court Vision Low Black White,,,,False,
Adidas Lite Racer Adapt 4.0 Black White,,,,False,
Puma Reflect Lite Trail PURE-TEX Black Cool Dark Grey,,,,False,
Adidas Duramo SL Black Solar Red,,,,False,
Puma Inhale Black Green Glare,,,,False,
Adidas Daily 3.0 Dove Grey,,,,False,
Nike Revolution 7 Black White,,,,False,
Adidas Runfalcon 5 Triple White,,,,False,
adidas men Ultimashow Shoes,3800,US M 8.5 + more,5500,True,
adidas men Questar 3 Running Shoes,4200,US M 13 + more,7500,True,
Air Jordan 13 Retro True Red 2026 414571-102 Men Size,18900,US M 9.5 + more,1495,False,
adidas men Barreda Shoes,3800,US M 11 + more,6500,True,
adidas men VL Court 3.0 Shoes,3700,US M 8.5 + more,7500,True,
M-Tac Men's Summer Light Low Hiking Shoes Breathable Lightweight Trail Shoe,4207,US M 8 + more,4428,False,
Lululemon women's Light Creme/Beige chargefeel 2 low workout shoes,8300,US W 9.5,1764,False,
Saucony Men's Endorphin Pro 5 Citron | Black (All Sizes) NEW! ✨,20000,US M 11.5 + more,0,False,
Nike Air Jordan 4 Retro 'Lakers' Jordan 4  AJ4 Imperial Purple FV5029-500 Men's,23700,US M 11.5 + more,1495,False,
Air Jordan 5 “Wolf Grey” DD0587-002,27999,US M 7.5 + more,1495,False,
adidas men Streettalk,3800,US M 11 + more,7500,True,
Vans New Authentic Classic Sneakers Unisex Canvas Shoes,3999,US M 9.5 + more,,False,58+ sold
adidas men Run 84 Shoes,5600,US M 12 + more,8000,True,
adidas men Runfalcon 5 Running Shoes,3700,US M 11.5 + more,6500,True,
