name,price,status,shipping,free_returns,items_sold
Vinyl Record Lot You Pick & Choose 60s 70s 80s Top Artists Vintage ADD for % OFF,100,Pre-Owned,447,False,
Shamrock Vintage Vinyl Decal Sticker Waterproof,350,Brand New,395,False,
New ListingVINYL RECORDS  Pick & Choose . Christian Rock + Children  1960s 70s 80s  Vintage,500,Pre-Owned,395,True,
Vintage Vinyl Records Lot Various Artists Mix – Choose Your Record,499,Pre-Owned,547,False,
Rock Vinyl Records Lot Various Artists & Variations CHOOSE YOUR Cheap Good Cond.,999,Pre-Owned,547,False,
Vinyl Record Lot You Pick & Choose 60s 70s 80s Top Artists Vintage ADD for % OFF,100,Pre-Owned,522,False,
New ListingLot of 9 Vintage Children's Vinyl Records 78 RPM Little Golden Nice Set 👀,2500,Pre-Owned,,False,
YOU PICK Your Own Vinyl Record Lot 60s-80s ROCK POP FOLK R&B Flat Ship Upd. 3/21,500,Pre-Owned,600,False,
New ListingVintage LITTLE FEAT Waiting for Columbus Vinyl Lot  LP Vinyl Record 2LP lot 1978,1000,Pre-Owned,522,False,
New ListingBob Marley Wailers Exodus 1977 Island 90034 Vinyl LP Vintage Record Roots Reggae,999,Pre-Owned,0,False,
Sabrina Carpenter - Short n' Sweet [Vintage Bottle] [New Vinyl LP] Colored Vinyl,3188,Brand New,3497,True,100 sold
New ListingLot of 4 1970 - 1980’s Factory Sealed Vintage Records  Folk Country Pop Jazz LP,2999,Brand New,0,False,
$6 Vinyl Records Pick & Choose 70s 80s ROCK POP $5 shipping for any amount,600,Pre-Owned,500,True,
Dean Elliott And His Orchestra – Zounds! What Sounds! - 1962 Capitol ST1818 VG+,5200,Pre-Owned,6500,False,
Fred Waring & His Pennsylvanians – To You Forever Vintage 33rpm VG+ AB14,715,Pre-Owned,447,False,
Ein Neuer Schlager... | Flexi-Disc 7'' Germany 45RPM Vintage Single (G),919,Pre-Owned,5900,False,
New ListingVintage Lot Of 9 Inner Sleeves Beatles Stones KISS Michael Jackson Pink Floyd,1998,Pre-Owned,447,False,
New Listingrecord albums vinyl vintage,1500,Pre-Owned,600,False,
VINYL RECORDS You CHOOSE / Pick Soundtrack Musical Various MORE BUY GET DISCOUNT,100,Pre-Owned,447,False,
New Listing6 Vtg. Young People's Records Children's Record Guild Pre-School 1940's Ages 2-4,2695,Pre-Owned,,False,
New Listing4 Warner Bros. Promo Sampler Comp Lot Vinyl 2XLP Vintage Records Kiss Zappa,2995,Pre-Owned,649,False,
New Listing1962- Bob Dylan Self-titled Debut Album ~ Vintage Vinyl Record Album LP,1698,Pre-Owned,447,False,
New ListingLot of 21 Vinyl LPs - 70s & 80’s Albums - Rock Pop Classic Soundtrack,5100,Pre-Owned,1272,False,
Vintage Record Album Binder,1500,Pre-Owned,637,True,
New ListingVintage Cheech and Chong’s Greatest Hit 1981 Vintage Vinyl Warner Bros,2295,Pre-Owned,0,False,
New ListingVintage Vinyl Record Album Songs of Our Times 1923 Charles Baum and Orchestra,2495,Brand New,0,False,
New ListingVintage Vinyl Record Album Songs of Our Times 1930 Ted Straeter and his Orchestr,2495,Brand New,0,False,
New ListingVintage Vinyl Record Album Songs of Our Times 1926 Marlene Fingerle,2495,Brand New,0,False,
Mystery Box Vinyl Records Music Albums LP Bulk Lot of 20 Vintage With Sleeves,3999,Pre-Owned,0,False,
"VinylShopUS - Lot of 12"" Vinyl Records for Crafts and Decoration Artwork for",1998,Brand New,0,False,
"New ListingLOT OF 6 TONY BENNET Vintage VINYL LP Record Collection ALBUMS 33RPM music 12""",1500,Pre-Owned,672,False,
New ListingPhil Collins Face Value Vintage Vinyl LP 1981 Atlantic Record SD-16029,1299,Pre-Owned,447,False,
FREESTYLE & HOUSE BLOWOUT SALE - $10 EACH - BUY 4 OR MORE FOR $5 EACH!,1000,Pre-Owned,647,False,
New ListingVintage Vinyl Record Album Songs of Our Times 1927 Bob Grant,2495,Brand New,0,False,
New ListingVintage Vinyl Record Album Songs of Our Times 1929 Marlene Fingerle & A. Schutt,2495,Brand New,0,False,
New ListingRolling Stones Sucking In Seventies,1249,Pre-Owned,0,False,
New ListingVintage Vinyl Record Album Songs of Our Times 1919 Ted Straeter and Orchestra,2495,Brand New,0,False,
New Listing60s 70s Variety 21 Vinyl 45 RPM Records Lot Untested No Sleeves Drifters Rascals,1400,Pre-Owned,722,False,
New ListingLot of 8 Vintage Vinyl Records – Classic Rock & Pop Artists,2915,Pre-Owned,0,False,
